Element & Symbol,Electronegativity,Atomic Radii (pm),Thermal Conductivity (W/m·K),Melting Point (K),Density (kg/m3),Crystal structure,Electrical Conductivity (S/m) x 10^-06,Resistivity (n?·m),Gibbs Free Energy (kJ/mol),Standard Electrode Potential (V),Specific Capacity (mAh/g),Ionization Energy (kJ·mol-1),Electron Affinity (kJ·mol-1)
Lithium (Li),0.98,152.00,84.80,453.50,535.00,BCC,11.6,86.20,-237.30,-3.04,3862.00,520.20,-60.00
Beryllium (Be),1.57,112.00,200.00,1560.00,1848.00,HCP,41.8,55.60,-609.30,-1.85,2140.00,899.50,46.60
Sodium (Na),0.93,186.00,142.00,370.72,970.00,BCC,21,45.60,-240.10,-2.71,1160.00,495.80,52.80
Magnesium (Mg),1.31,160.00,156.00,923.00,1738.00,HCP,22,43.90,-601.80,-2.37,2205.00,737.70,79.10
Aluminum (Al),1.61,143.00,205.00,933.00,2700.00,FCC,38.2,27.00,-559.00,-1.66,2980.00,577.50,-42.50
Potassium (K),0.82,203.00,102.00,336.00,862.00,BCC,14,83.00,-271.00,-2.93,2640.00,418.80,48.60
Calcium (Ca),1.00,197.00,200.00,1115.00,1550.00,FCC,29.8,34.00,-744.00,-2.87,2073.00,589.80,-2.37
Strontium (Sr),0.95,215.00,35.00,1042.00,2630.00,FCC,7.7,123.00,-814.00,-2.89,2043.00,549.50,-5.03
Titanium (Ti),1.54,176.00,21.90,1941.00,4507.00,HCP,3.25,43.00,-969.00,-1.63,304.00,658.80,-8.28
Vanadium (V),1.63,171.00,30.70,2183.00,6110.00,BCC,1.43,154.00,-1079.00,-1.18,274.00,650.90,-50.60
Chromium (Cr),1.66,189.00,94.00,2180.00,7190.00,BCC,7.9,126.00,-545.00,-0.74,122.00,652.90,-64.30
Manganese (Mn),1.55,161.00,7.80,1519.00,7470.00,BCC,6.2,128.00,-558.00,-1.18,140.00,717.30,-50.00
Iron (Fe),1.83,124.00,80.40,1811.00,7874.00,BCC,10,101.00,-394.40,-0.44,65.00,762.50,-15.70
Cobalt (Co),1.88,126.00,100.00,1768.00,8900.00,HCP,17,59.00,-447.40,-0.28,82.00,760.40,-63.70
Nickel (Ni),1.91,125.00,90.90,1728.00,8908.00,FCC,14,69.00,-320.10,-0.25,140.00,737.10,-111.70
Copper (Cu),1.90,128.00,401.00,1358.00,8960.00,FCC,59.6,17.00,-68.10,0.34,38.90,745.50,119.20
Zinc (Zn),1.65,134.00,116.00,692.50,7140.00,HCP,16.6,60.00,-214.10,-0.76,820.00,906.40,-58.00
Gallium (Ga),1.81,181.00,29.60,302.76,5907.00,Orthorhombic,3.25,138.00,-237.10,-0.53,585.00,578.80,29.10
Germanium (Ge),2.01,122.00,60.20,1210.40,5323.00,Diamond cubic,2.2,952.00,-437.40,-0.14,1600.00,762.00,119.40
Rubidium (Rb),0.82,303.00,58.20,312.30,1532.00,BCC,4.4,52.90,-46.90,-2.92,218.00,403.00,46.90
Yttrium (Y),1.22,227.00,17.20,1799.00,4472.00,HCP,1.17,54.90,-740.60,-2.37,1137.00,600.00,29.60
Zirconium (Zr),1.33,216.00,22.70,2128.00,6511.00,HCP,2.34,62.10,-609.30,-1.53,357.00,640.10,41.10
Niobium (Nb),1.60,208.00,53.70,2741.00,8570.00,BCC,7.1,149.30,-583.90,-1.04,423.00,652.10,86.10
Molybdenum (Mo),2.16,217.00,138.00,2896.00,10280.00,BCC,13.5,58.80,-744.90,-0.74,325.00,684.30,72.10
Technetium (Tc),1.90,211.00,51.80,2473.00,11500.00,HCP,5.5,126.40,-672.10,-1.14,213.00,702.00,53.00
Ruthenium (Ru),2.20,134.00,117.00,2607.00,12370.00,HCP,11.2,104.00,-455.60,-0.04,720.00,710.20,101.30
Rhodium (Rh),2.28,173.00,150.00,2239.00,12450.00,FCC,23,45.00,-520.30,-1.06,560.00,719.70,110.20
Palladium (Pd),2.20,288.00,71.80,1827.90,12023.00,FCC,10.8,92.60,-519.10,-0.92,320.00,804.40,53.70
Silver (Ag),1.93,172.00,429.00,1234.80,10490.00,FCC,61,16.00,-288.00,0.80,400.00,731.00,125.60
Cadmium (Cd),1.69,148.00,96.60,594.10,8650.00,HCP,14,61.00,-129.20,-0.40,200.00,867.80,-51.20
Indium (In),1.78,162.00,81.80,429.60,7310.00,Tetragonal,11.1,84.60,-117.80,0.34,550.00,558.30,28.90
