Element & Symbol,Electronegativity,Atomic Radii (pm),Thermal Conductivity (W/m·K),Melting Point (K),Density (kg/m3),Crystal structure,Electrical Conductivity (S/m) x 10^-06,Resistivity (nΩ·m),Gibbs Free Energy (kJ/mol),Standard Electrode Potential (V),Specific Capacity (mAh/g),Ionization Energy (kJ·mol-1),Electron Affinity (kJ·mol-1)
Lithium (Li),0.98,152,84.8,453.5,535,BCC,11.6,86.2,-237.3,-3.04,3862.0,520.2,-60.0
Beryllium (Be),1.57,112,200.0,1560.0,1848,HCP,41.8,55.6,-609.3,-1.85,2140.0,899.5,46.6
Sodium (Na),0.93,186,142.0,370.72,970,BCC,21.0,45.6,-240.1,-2.71,1160.0,495.8,52.8
Magnesium (Mg),1.31,160,156.0,923.0,1738,HCP,22.0,43.9,-601.8,-2.37,2205.0,737.7,79.1
Aluminum (Al),1.61,143,205.0,933.0,2700,FCC,38.2,27.0,-559.0,-1.66,2980.0,577.5,-42.5
Potassium (K),0.82,203,102.0,336.0,862,BCC,14.0,83.0,-271.0,-2.93,2640.0,418.8,48.6
Calcium (Ca),1.0,197,200.0,1115.0,1550,FCC,29.8,34.0,-744.0,-2.87,2073.0,589.8,-2.37
Strontium (Sr),0.95,215,35.0,1042.0,2630,FCC,7.7,123.0,-814.0,-2.89,2043.0,549.5,-5.03
Titanium (Ti),1.54,176,21.9,1941.0,4507,HCP,3.25,43.0,-969.0,-1.63,304.0,658.8,-8.28
Vanadium (V),1.63,171,30.7,2183.0,6110,BCC,1.43,154.0,-1079.0,-1.18,274.0,650.9,-50.6
Chromium (Cr),1.66,189,94.0,2180.0,7190,BCC,7.9,126.0,-545.0,-0.74,122.0,652.9,-64.3
Manganese (Mn),1.55,161,7.8,1519.0,7470,BCC,6.2,128.0,-558.0,-1.18,140.0,717.3,-50.0
Iron (Fe),1.83,124,80.4,1811.0,7874,BCC,10.0,101.0,-394.4,-0.44,65.0,762.5,-15.7
Cobalt (Co),1.88,126,100.0,1768.0,8900,HCP,17.0,59.0,-447.4,-0.28,82.0,760.4,-63.7
Nickel (Ni),1.91,125,90.9,1728.0,8908,FCC,14.0,69.0,-320.1,-0.25,140.0,737.1,-111.7
Copper (Cu),1.9,128,401.0,1358.0,8960,FCC,59.6,17.0,-68.1,0.34,38.9,745.5,119.2
Zinc (Zn),1.65,134,116.0,692.5,7140,HCP,16.6,60.0,-214.1,-0.76,820.0,906.4,-58.0
Gallium (Ga),1.81,181,29.6,302.76,5907,Orthorhombic,3.25,138.0,-237.1,-0.53,585.0,578.8,29.1
Germanium (Ge),2.01,122,60.2,1210.4,5323,Diamond cubic,2.2,952.0,-437.4,-0.14,1600.0,762.0,119.4
Rubidium (Rb),0.82,303,58.2,312.3,1532,BCC,4.4,52.9,-46.9,-2.92,218.0,403.0,46.9
Yttrium (Y),1.22,227,17.2,1799.0,4472,HCP,1.17,54.9,-740.6,-2.37,1137.0,600.0,29.6
Zirconium (Zr),1.33,216,22.7,2128.0,6511,HCP,2.34,62.1,-609.3,-1.53,357.0,640.1,41.1
Niobium (Nb),1.6,208,53.7,2741.0,8570,BCC,7.1,149.3,-583.9,-1.04,423.0,652.1,86.1
Molybdenum (Mo),2.16,217,138.0,2896.0,10280,BCC,13.5,58.8,-744.9,-0.74,325.0,684.3,72.1
Technetium (Tc),1.9,211,51.8,2473.0,11500,HCP,5.5,126.4,-672.1,-1.14,213.0,702.0,53.0
Ruthenium (Ru),2.2,134,117.0,2607.0,12370,HCP,11.2,104.0,-455.6,-0.04,720.0,710.2,101.3
Rhodium (Rh),2.28,173,150.0,2239.0,12450,FCC,23.0,45.0,-520.3,-1.06,560.0,719.7,110.2
Palladium (Pd),2.2,288,71.8,1827.9,12023,FCC,10.8,92.6,-519.1,-0.92,320.0,804.4,53.7
Silver (Ag),1.93,172,429.0,1234.8,10490,FCC,61.0,16.0,-288.0,0.8,400.0,731.0,125.6
Cadmium (Cd),1.69,148,96.6,594.1,8650,HCP,14.0,61.0,-129.2,-0.4,200.0,867.8,-51.2
Indium (In),1.78,162,81.8,429.6,7310,Tetragonal,11.1,84.6,-117.8,0.34,550.0,558.3,28.9
Tin (Sn),1.96,140,67.0,504.9,7310,Tetragonal,9.2,109.0,-235.8,-0.14,820.0,708.6,107.3
Antimony (Sb),2.05,140,24.4,903.63,6697,Rhombohedral,3.7,254.0,-227.2,0.16,850.0,834.0,103.2
Cesium (Cs),0.79,334,35.9,301.44,1873,Cubic,4.6,154.0,-84.2,-2.92,80.0,375.7,45.5
Barium (Ba),0.89,278,18.4,1000.0,3510,BCC,2.4,366.0,-525.6,-2.91,75.0,502.9,14.0
Hafnium (Hf),1.3,216,23.0,2506.0,13310,HCP,1.0,194.0,-747.2,-1.55,232.0,658.5,17.2
Tantalum (Ta),1.5,214,57.5,3269.0,16654,BCC,7.0,76.3,-821.3,-1.68,240.0,761.0,31.0
Tungsten (W),2.36,239,173.0,3695.0,19250,BCC,18.3,55.6,-798.8,-0.93,372.0,770.0,78.6
Rhenium  (Re),1.9,216,47.9,3459.0,21020,HCP,5.6,52.4,-849.2,-1.1,220.0,760.0,14.5
Osmium (Os),2.2,136,87.6,3579.0,22610,HCP,9.71,1.0,778.5,1.07,165.0,840.0,106.1
Iridium (Ir),2.2,137,147.0,2989.0,22650,FCC,2.21,0.45,601.1,0.79,150.0,880.0,150.9
Platinum  (Pt),2.28,139,71.6,2041.0,21450,FCC,9.41,106.0,-286.3,1.2,120.0,870.0,205.0
Gold  (Au),2.54,144,317.0,1337.0,19320,FCC,45.2,45.2,-228.6,1.68,225.0,890.0,223.0
Mercury (Hg),2.0,149,8.3,234.17000000000002,13534,Rhombohedral,1.05,0.961,-51.2,-0.851,150.0,1007.1,48.2
